"geographic_area", "population_size"
"Autauga County, Alabama","58,909"
"Baldwin County, Alabama","233,244"
"Barbour County, Alabama","24,975"
"Bibb County, Alabama","22,176"
"Blount County, Alabama","59,110"
"Bullock County, Alabama","10,230"
"Butler County, Alabama","19,027"
"Calhoun County, Alabama","116,242"
"Chambers County, Alabama","34,572"
"Cherokee County, Alabama","24,981"
"Chilton County, Alabama","45,060"
"Choctaw County, Alabama","12,622"
"Clarke County, Alabama","22,989"
"Clay County, Alabama","14,210"
"Cleburne County, Alabama","15,063"
"Coffee County, Alabama","53,565"
"Colbert County, Alabama","57,305"
"Conecuh County, Alabama","11,551"
"Coosa County, Alabama","10,340"
"Covington County, Alabama","37,513"
"Crenshaw County, Alabama","13,171"
"Cullman County, Alabama","88,142"
"Dale County, Alabama","49,260"
"Dallas County, Alabama","38,185"
"DeKalb County, Alabama","71,673"
"Elmore County, Alabama","87,871"
"Escambia County, Alabama","36,687"
"Etowah County, Alabama","103,437"
"Fayette County, Alabama","16,329"
"Franklin County, Alabama","32,076"
"Geneva County, Alabama","26,703"
"Greene County, Alabama","7,701"
"Hale County, Alabama","14,771"
"Henry County, Alabama","17,171"
"Houston County, Alabama","107,300"
"Jackson County, Alabama","52,532"
"Jefferson County, Alabama","674,727"
"Lamar County, Alabama","13,954"
"Lauderdale County, Alabama","94,031"
"Lawrence County, Alabama","33,075"
"Lee County, Alabama","174,856"
"Limestone County, Alabama","104,209"
"Lowndes County, Alabama","10,284"
"Macon County, Alabama","19,472"
"Madison County, Alabama","390,527"
"Marengo County, Alabama","19,271"
"Marion County, Alabama","29,175"
"Marshall County, Alabama","97,706"
"Mobile County, Alabama","414,409"
"Monroe County, Alabama","19,704"
"Montgomery County, Alabama","228,363"
"Morgan County, Alabama","123,329"
"Perry County, Alabama","8,456"
"Pickens County, Alabama","18,962"
"Pike County, Alabama","32,904"
"Randolph County, Alabama","22,093"
"Russell County, Alabama","59,252"
"St. Clair County, Alabama","91,687"
"Shelby County, Alabama","223,915"
"Sumter County, Alabama","12,192"
"Talladega County, Alabama","81,416"
"Tallapoosa County, Alabama","41,288"
"Tuscaloosa County, Alabama","232,651"
"Walker County, Alabama","65,141"
"Washington County, Alabama","15,331"
"Wilcox County, Alabama","10,533"
"Winston County, Alabama","23,488"
"Aleutians East Borough, Alaska","3,426"
"Aleutians West Census Area, Alaska","5,223"
"Anchorage Municipality, Alaska","290,905"
"Bethel Census Area, Alaska","18,670"
"Bristol Bay Borough, Alaska",830
"Chugach Census Area, Alaska","7,082"
"Copper River Census Area, Alaska","2,614"
"Denali Borough, Alaska","1,614"
"Dillingham Census Area, Alaska","4,840"
"Fairbanks North Star Borough, Alaska","95,349"
"Haines Borough, Alaska","2,085"
"Hoonah-Angoon Census Area, Alaska","2,354"
"Juneau City and Borough, Alaska","32,203"
"Kenai Peninsula Borough, Alaska","58,941"
"Ketchikan Gateway Borough, Alaska","13,912"
"Kodiak Island Borough, Alaska","13,044"
"Kusilvak Census Area, Alaska","8,369"
"Lake and Peninsula Borough, Alaska","1,452"
"Matanuska-Susitna Borough, Alaska","107,522"
"Nome Census Area, Alaska","10,019"
"North Slope Borough, Alaska","11,006"
"Northwest Arctic Borough, Alaska","7,795"
"Petersburg Borough, Alaska","3,407"
"Prince of Wales-Hyder Census Area, Alaska","5,745"
"Sitka City and Borough, Alaska","8,430"
"Skagway Municipality, Alaska","1,240"
"Southeast Fairbanks Census Area, Alaska","6,826"
"Wrangell City and Borough, Alaska","2,129"
"Yakutat City and Borough, Alaska",682
"Yukon-Koyukuk Census Area, Alaska","5,303"
"Apache County, Arizona","65,917"
"Cochise County, Arizona","125,533"
"Coconino County, Arizona","145,190"
"Gila County, Arizona","53,355"
"Graham County, Arizona","38,630"
"Greenlee County, Arizona","9,531"
"La Paz County, Arizona","16,573"
"Maricopa County, Arizona","4,445,415"
"Mohave County, Arizona","214,173"
"Navajo County, Arizona","106,773"
"Pima County, Arizona","1,045,227"
"Pinal County, Arizona","430,213"
"Santa Cruz County, Arizona","47,712"
"Yavapai County, Arizona","237,228"
"Yuma County, Arizona","205,665"
"Arkansas County, Arkansas","17,104"
"Ashley County, Arkansas","18,963"
"Baxter County, Arkansas","41,696"
"Benton County, Arkansas","286,621"
"Boone County, Arkansas","37,393"
"Bradley County, Arkansas","10,492"
"Calhoun County, Arkansas","4,736"
"Carroll County, Arkansas","28,241"
"Chicot County, Arkansas","10,159"
"Clark County, Arkansas","21,403"
"Clay County, Arkansas","14,534"
"Cleburne County, Arkansas","24,716"
"Cleveland County, Arkansas","7,554"
"Columbia County, Arkansas","22,743"
"Conway County, Arkansas","20,734"
"Craighead County, Arkansas","111,623"
"Crawford County, Arkansas","60,160"
"Crittenden County, Arkansas","48,090"
"Cross County, Arkansas","16,801"
"Dallas County, Arkansas","6,441"
"Desha County, Arkansas","11,321"
"Drew County, Arkansas","17,315"
"Faulkner County, Arkansas","123,820"
"Franklin County, Arkansas","17,141"
"Fulton County, Arkansas","12,051"
"Garland County, Arkansas","100,266"
"Grant County, Arkansas","18,019"
"Greene County, Arkansas","45,861"
"Hempstead County, Arkansas","19,986"
"Hot Spring County, Arkansas","33,076"
"Howard County, Arkansas","12,758"
"Independence County, Arkansas","37,945"
"Izard County, Arkansas","13,604"
"Jackson County, Arkansas","16,759"
"Jefferson County, Arkansas","66,835"
"Johnson County, Arkansas","25,727"
"Lafayette County, Arkansas","6,295"
"Lawrence County, Arkansas","16,216"
"Lee County, Arkansas","8,530"
"Lincoln County, Arkansas","12,890"
"Little River County, Arkansas","11,971"
"Logan County, Arkansas","21,109"
"Lonoke County, Arkansas","74,072"
"Madison County, Arkansas","16,560"
"Marion County, Arkansas","16,867"
"Miller County, Arkansas","42,586"
"Mississippi County, Arkansas","40,545"
"Monroe County, Arkansas","6,771"
"Montgomery County, Arkansas","8,484"
"Nevada County, Arkansas","8,287"
"Newton County, Arkansas","7,196"
"Ouachita County, Arkansas","22,617"
"Perry County, Arkansas","10,003"
"Phillips County, Arkansas","16,441"
"Pike County, Arkansas","10,156"
"Poinsett County, Arkansas","22,955"
"Polk County, Arkansas","19,186"
"Pope County, Arkansas","63,407"
